id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
881747917783220382,G Big triple room @ Madrid's center heart,461634064,Francis,Centro,Embajadores,40.40985,-3.69848,Private room,33,3,94,2024-11-19,4.79,8,35,58,
881862647184078670,"Habitación luminosa cerca Plaza Castilla, Bernabeu",91224453,Patricia,Fuencarral - El Pardo,Pilar,40.47675,-3.71416,Private room,,3,21,2024-12-01,1.09,1,1,12,
881876026029888566,Super Chic Design Luxury Flat Chueca,145745975,Javier,Centro,Justicia,40.423712538119766,-3.699635714531638,Entire home/apt,313,4,64,2024-10-31,3.29,3,26,34,
881882274947107571,Habitación privada Aire acondicionado y TV centro,512657898,Javier,Ciudad Lineal,Quintana,40.43522579074944,-3.6453672305501947,Private room,48,1,96,2024-12-06,6.30,1,146,81,
881959696231100415,Habitación privada 4. Parada de metro Gran Vía.,24654581,Caridad Miriam,Centro,Universidad,40.4243,-3.70157,Private room,53,1,102,2024-11-28,5.22,4,0,64,
881987842863648513,Modern Boho Chic Haven - Chueca,145745975,Javier,Centro,Universidad,40.42146,-3.70191,Entire home/apt,308,2,67,2024-11-29,3.46,3,11,46,
882291080831323739,Habitación grande y luminosa,444339312,Nicole,Arganzuela,Chopera,40.39403,-3.69488,Entire home/apt,,1,0,,,1,0,0,
882305552846878797,habitación en Madrid atocha,512748742,Redouan,Arganzuela,Palos de Moguer,40.407017128268684,-3.6947868391871452,Private room,45,1,164,2024-12-06,8.59,2,349,109,
882457729228230272,BLL19 Muy Luminoso - 2hab,458208332,Plans In Place,Tetuán,Berruguete,40.461957146715434,-3.704252034938983,Entire home/apt,54,21,2,2023-07-12,0.11,6,62,0,
882518098253362272,Baquo - 4 bedrooms in Malasaña,346367515,Ukio,Chamberí,Trafalgar,40.42976988265515,-3.7040090030069446,Entire home/apt,,31,0,,,332,181,0,
882546950230745191,Madrid II,375325101,Leandro,Salamanca,Guindalera,40.434516458565774,-3.6719556540371934,Entire home/apt,123,1,8,2024-10-27,0.42,1,2,7,
882563737597161339,Confort habitación con vista a la naturaleza,346372184,Jessica,Usera,San Fermín,40.36738588060922,-3.687142910582974,Private room,44,2,23,2024-07-22,1.19,1,122,9,
882633339962980391,Great Studio,512830485,Miranda,Centro,Universidad,40.42549,-3.70856,Entire home/apt,69,1,78,2024-12-09,4.01,5,294,46,
882649576387493166,La Latina so nice,218646220,Marta Y Joaquin,Centro,Embajadores,40.41039890847478,-3.7058618111145036,Entire home/apt,138,1,62,2024-11-25,3.18,1,347,46,
882655875809688750,Loft12 grupo luxury plaza mayor,22089497,Jule,Centro,Embajadores,40.40947208280358,-3.705652343281948,Entire home/apt,,2,5,2024-11-26,0.29,12,177,4,
882755186189638863,Beautiful and cosy flat La Latina-Rastro,460391145,Francisco Andres,Centro,Embajadores,40.40801116098051,-3.707318490490573,Entire home/apt,107,1,31,2024-10-28,1.61,135,349,13,
